question,correct_answer,LoopQuestion.thisRepN,LoopQuestion.thisTrialN,LoopQuestion.thisN,LoopQuestion.thisIndex,textWelcomeMessage.started,textWelcomeMessage.stopped,key_Welcome.keys,key_Welcome.rt,key_Welcome.started,key_Welcome.stopped,textBlank.started,textBlank.stopped,text.started,text.stopped,keyQuestion.keys,keyQuestion.corr,keyQuestion.rt,keyQuestion.started,keyQuestion.stopped,textGoodbyeMessage.started,textGoodbyeMessage.stopped,key_Goodbye.keys,key_Goodbye.rt,key_Goodbye.started,key_Goodbye.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,9.767982700024731,None,space,1.5830602000060026,9.767982700024731,None,,,,,,,,,,,,,,,,1,001,2022_Feb_02_1634,MC_programming,2021.2.3,60.04365173866981,
"In R tidyverse, what does a piping symbol look like? 
 
 A. |> 
 B. %<% 
 C.%>%  
 D. %%%",c,0,0,0,9,,,,,,,14.343580000015208,None,11.802758800011361,None,c,1,2.5154831999971066,11.802758800011361,None,,,,,,,1,001,2022_Feb_02_1634,MC_programming,2021.2.3,60.04365173866981,
"In pyhton, you can you save your plt figure? 
 
 A. using the function plt.savefig(your_title.png) 
 B. save('your_title.png')  
 C. save(your_title.png)   
 D. none of the above",d,0,1,1,8,,,,,,,19.206171000027098,None,14.75268090001191,None,b,0,4.4322934000229,14.75268090001191,None,,,,,,,1,001,2022_Feb_02_1634,MC_programming,2021.2.3,60.04365173866981,
"If there is a vector x = c(6,2,3,74,2,7,1) what is the output of x[1] in R ?
 
  A. 6 
 B. 2  
 C. 4 
 D. none of the above",a,0,2,2,2,,,,,,,25.35114940002677,None,19.61345670002629,None,a,1,5.711667800002033,19.61345670002629,None,,,,,,,1,001,2022_Feb_02_1634,MC_programming,2021.2.3,60.04365173866981,
"In R, what is an efficient way to install a package? 
 
 A. surf the internet and download the wanted package directly 
 B. use the function install.packages ("x") 
 C. use the function install.packages (x) 
 D. use the function library(x)",b,0,3,3,5,,,,,,,36.059061000007205,None,25.75833730000886,None,b,1,10.280018100020243,25.75833730000886,None,,,,,,,1,001,2022_Feb_02_1634,MC_programming,2021.2.3,60.04365173866981,
"In R, what is the output of unique(c(5,2,4,2,3,5,3,2,4,1,2,3,4))
 
 A. 40 
 B. 1 2 3 4 5 
 C. 15 
 D. 5 2 4 3 1",d,0,4,4,4,,,,,,,41.73760820002644,None,36.46430650001275,None,d,1,5.258268500008853,36.46430650001275,None,,,,,,,1,001,2022_Feb_02_1634,MC_programming,2021.2.3,60.04365173866981,
"In R, what should be the input of rnorm()?
 
 A. min value, max value, number of data points 
 B. mean, variance, number of data points  
 C. number of data points, mean  
 D. number of data points, mean, standard deviation",d,0,5,5,7,,,,,,,49.09839810000267,None,42.138222200010205,None,d,1,6.9323947000084445,42.138222200010205,None,,,,,,,1,001,2022_Feb_02_1634,MC_programming,2021.2.3,60.04365173866981,
"What is a function in R to generate data that is randomly distributed; what is a function in python to generate data that is randomly distributed?
 
 A. random(); np.random.normal 
 B. rnorm(); random.data  
 C. rnorm(); np.random.normal()  
 D.random(); random.data()",c,0,6,6,6,,,,,,,55.409637700009625,None,49.505658700014465,None,a,0,5.8774001999991015,49.505658700014465,None,,,,,,,1,001,2022_Feb_02_1634,MC_programming,2021.2.3,60.04365173866981,
"If there is a vector x = [6,2,3,74,2,7,1] what is the output of x[1] in python? 
 
 A. 6 
 B. 2  
 C. 4 
 D. none of the above",b,0,7,7,1,,,,,,,63.88614210000378,None,55.809308700001566,None,b,1,8.05596090000472,55.809308700001566,None,,,,,,,1,001,2022_Feb_02_1634,MC_programming,2021.2.3,60.04365173866981,
"In R, what does the ifelse function do? 
 
 A. it removes values that do not apply to the condition 
 B. it tests a condition and returns TRUE or FALSE in a vector  
 C. it tests a condition and does x if it is true and y if it is false 
 D. all of the above can be true, this depends on all conditions given to the function. ",c,0,8,8,3,,,,,,,69.96445580001455,None,64.29990320000798,None,c,1,5.640973500005202,64.29990320000798,None,,,,,,,1,001,2022_Feb_02_1634,MC_programming,2021.2.3,60.04365173866981,
"What is a function in R to detect missing data? 
 
 A. is_na(X) 
 B. X == NA 
 C. is.na(X) 
 D. is_na('X')",a,0,9,9,0,,,,,,,80.58959519999917,None,70.36465240002144,None,c,0,10.203993500006618,70.36465240002144,None,,,,,,,1,001,2022_Feb_02_1634,MC_programming,2021.2.3,60.04365173866981,
"What is a function in R to detect missing data? 
 
 A. is_na(X) 
 B. X == NA 
 C. is.na(X) 
 D. is_na('X')",a,1,0,10,0,,,,,,,83.80317290002131,None,80.98889440001221,None,c,0,2.7833403999975417,80.98889440001221,None,,,,,,,1,001,2022_Feb_02_1634,MC_programming,2021.2.3,60.04365173866981,
"In R, what is an efficient way to install a package? 
 
 A. surf the internet and download the wanted package directly 
 B. use the function install.packages ("x") 
 C. use the function install.packages (x) 
